order_id,day,time,size,smoker,sex,total_bill,tip
1,Sun,Dinner,2,No,Female,16.99,1.01
2,Sun,Dinner,3,No,Male,10.34,1.66
3,Sun,Dinner,3,No,Male,21.01,3.5
4,Sun,Dinner,2,No,Male,23.68,3.31
5,Sun,Dinner,4,No,Female,24.59,3.61
6,Sun,Dinner,4,No,Male,25.29,4.71
7,Sun,Dinner,2,No,Male,8.77,2
8,Sun,Dinner,4,No,Male,26.88,3.12
9,Sun,Dinner,2,No,Male,15.04,1.96
10,Sun,Dinner,2,No,Male,14.78,3.23
11,Sun,Dinner,2,No,Male,10.27,1.71
12,Sun,Dinner,4,No,Female,35.26,5
13,Sun,Dinner,2,No,Male,15.42,1.57
14,Sun,Dinner,4,No,Male,18.43,3
15,Sun,Dinner,2,No,Female,14.83,3.02
16,Sun,Dinner,2,No,Male,21.58,3.92
17,Sun,Dinner,3,No,Female,10.33,1.67
18,Sun,Dinner,3,No,Male,16.29,3.71
19,Sun,Dinner,3,No,Female,16.97,3.5
20,Sat,Dinner,3,No,Male,20.65,3.35
21,Sat,Dinner,2,No,Male,17.92,4.08
22,Sat,Dinner,2,No,Female,20.29,2.75
23,Sat,Dinner,2,No,Female,15.77,2.23
24,Sat,Dinner,4,No,Male,39.42,7.58
25,Sat,Dinner,2,No,Male,19.82,3.18
26,Sat,Dinner,4,No,Male,17.81,2.34
27,Sat,Dinner,2,No,Male,13.37,2
28,Sat,Dinner,2,No,Male,12.69,2
29,Sat,Dinner,2,No,Male,21.7,4.3
30,Sat,Dinner,2,No,Female,19.65,3
31,Sat,Dinner,2,No,Male,9.55,1.45
32,Sat,Dinner,4,No,Male,18.35,2.5
33,Sat,Dinner,2,No,Female,15.06,3
34,Sat,Dinner,4,No,Female,20.69,2.45
35,Sat,Dinner,2,No,Male,17.78,3.27
36,Sat,Dinner,3,No,Male,24.06,3.6
37,Sat,Dinner,3,No,Male,16.31,2
38,Sat,Dinner,3,No,Female,16.93,3.07
39,Sat,Dinner,3,No,Male,18.69,2.31
40,Sat,Dinner,3,No,Male,31.27,5
41,Sat,Dinner,3,No,Male,16.04,2.24
42,Sun,Dinner,2,No,Male,17.46,2.54
43,Sun,Dinner,2,No,Male,13.94,3.06
44,Sun,Dinner,2,No,Male,9.68,1.32
45,Sun,Dinner,4,No,Male,30.4,5.6
46,Sun,Dinner,2,No,Male,18.29,3
47,Sun,Dinner,2,No,Male,22.23,5
48,Sun,Dinner,4,No,Male,32.4,6
49,Sun,Dinner,3,No,Male,28.55,2.05
50,Sun,Dinner,2,No,Male,18.04,3
51,Sun,Dinner,2,No,Male,12.54,2.5
52,Sun,Dinner,2,No,Female,10.29,2.6
53,Sun,Dinner,4,No,Female,34.81,5.2
54,Sun,Dinner,2,No,Male,9.94,1.56
55,Sun,Dinner,4,No,Male,25.56,4.34
56,Sun,Dinner,2,No,Male,19.49,3.51
57,Sat,Dinner,4,Yes,Male,38.01,3
58,Sat,Dinner,2,No,Female,26.41,1.5
59,Sat,Dinner,2,Yes,Male,11.24,1.76
60,Sat,Dinner,4,No,Male,48.27,6.73
61,Sat,Dinner,2,Yes,Male,20.29,3.21
62,Sat,Dinner,2,Yes,Male,13.81,2
63,Sat,Dinner,2,Yes,Male,11.02,1.98
64,Sat,Dinner,4,Yes,Male,18.29,3.76
65,Sat,Dinner,3,No,Male,17.59,2.64
66,Sat,Dinner,3,No,Male,20.08,3.15
67,Sat,Dinner,2,No,Female,16.45,2.47
68,Sat,Dinner,1,Yes,Female,3.07,1
69,Sat,Dinner,2,No,Male,20.23,2.01
70,Sat,Dinner,2,Yes,Male,15.01,2.09
71,Sat,Dinner,2,No,Male,12.02,1.97
72,Sat,Dinner,3,No,Female,17.07,3
73,Sat,Dinner,2,Yes,Female,26.86,3.14
74,Sat,Dinner,2,Yes,Female,25.28,5
75,Sat,Dinner,2,No,Female,14.73,2.2
76,Sat,Dinner,2,No,Male,10.51,1.25
77,Sat,Dinner,2,Yes,Male,17.92,3.08
78,Thur,Lunch,4,No,Male,27.2,4
79,Thur,Lunch,2,No,Male,22.76,3
80,Thur,Lunch,2,No,Male,17.29,2.71
81,Thur,Lunch,2,Yes,Male,19.44,3
82,Thur,Lunch,2,No,Male,16.66,3.4
83,Thur,Lunch,1,No,Female,10.07,1.83
84,Thur,Lunch,2,Yes,Male,32.68,5
85,Thur,Lunch,2,No,Male,15.98,2.03
86,Thur,Lunch,4,No,Female,34.83,5.17
87,Thur,Lunch,2,No,Male,13.03,2
88,Thur,Lunch,2,No,Male,18.28,4
89,Thur,Lunch,2,No,Male,24.71,5.85
90,Thur,Lunch,2,No,Male,21.16,3
91,Fri,Dinner,2,Yes,Male,28.97,3
92,Fri,Dinner,2,No,Male,22.49,3.5
93,Fri,Dinner,2,Yes,Female,5.75,1
94,Fri,Dinner,2,Yes,Female,16.32,4.3
95,Fri,Dinner,2,No,Female,22.75,3.25
96,Fri,Dinner,4,Yes,Male,40.17,4.73
97,Fri,Dinner,2,Yes,Male,27.28,4
98,Fri,Dinner,2,Yes,Male,12.03,1.5
99,Fri,Dinner,2,Yes,Male,21.01,3
100,Fri,Dinner,2,No,Male,12.46,1.5
101,Fri,Dinner,2,Yes,Female,11.35,2.5
102,Fri,Dinner,2,Yes,Female,15.38,3
103,Sat,Dinner,3,Yes,Female,44.3,2.5
104,Sat,Dinner,2,Yes,Female,22.42,3.48
105,Sat,Dinner,2,No,Female,20.92,4.08
106,Sat,Dinner,2,Yes,Male,15.36,1.64
107,Sat,Dinner,2,Yes,Male,20.49,4.06
108,Sat,Dinner,2,Yes,Male,25.21,4.29
109,Sat,Dinner,2,No,Male,18.24,3.76
110,Sat,Dinner,2,Yes,Female,14.31,4
111,Sat,Dinner,2,No,Male,14,3
112,Sat,Dinner,1,No,Female,7.25,1
113,Sun,Dinner,3,No,Male,38.07,4
114,Sun,Dinner,2,No,Male,23.95,2.55
115,Sun,Dinner,3,No,Female,25.71,4
116,Sun,Dinner,2,No,Female,17.31,3.5
117,Sun,Dinner,4,No,Male,29.93,5.07
118,Thur,Lunch,2,No,Female,10.65,1.5
119,Thur,Lunch,2,No,Female,12.43,1.8
120,Thur,Lunch,4,No,Female,24.08,2.92
121,Thur,Lunch,2,No,Male,11.69,2.31
122,Thur,Lunch,2,No,Female,13.42,1.68
123,Thur,Lunch,2,No,Male,14.26,2.5
124,Thur,Lunch,2,No,Male,15.95,2
125,Thur,Lunch,2,No,Female,12.48,2.52
126,Thur,Lunch,6,No,Female,29.8,4.2
127,Thur,Lunch,2,No,Male,8.52,1.48
128,Thur,Lunch,2,No,Female,14.52,2
129,Thur,Lunch,2,No,Female,11.38,2
130,Thur,Lunch,3,No,Male,22.82,2.18
131,Thur,Lunch,2,No,Male,19.08,1.5
132,Thur,Lunch,2,No,Female,20.27,2.83
133,Thur,Lunch,2,No,Female,11.17,1.5
134,Thur,Lunch,2,No,Female,12.26,2
135,Thur,Lunch,2,No,Female,18.26,3.25
136,Thur,Lunch,2,No,Female,8.51,1.25
137,Thur,Lunch,2,No,Female,10.33,2
138,Thur,Lunch,2,No,Female,14.15,2
139,Thur,Lunch,2,Yes,Male,16,2
140,Thur,Lunch,2,No,Female,13.16,2.75
141,Thur,Lunch,2,No,Female,17.47,3.5
142,Thur,Lunch,6,No,Male,34.3,6.7
143,Thur,Lunch,5,No,Male,41.19,5
144,Thur,Lunch,6,No,Female,27.05,5
145,Thur,Lunch,2,No,Female,16.43,2.3
146,Thur,Lunch,2,No,Female,8.35,1.5
147,Thur,Lunch,3,No,Female,18.64,1.36
148,Thur,Lunch,2,No,Female,11.87,1.63
149,Thur,Lunch,2,No,Male,9.78,1.73
150,Thur,Lunch,2,No,Male,7.51,2
151,Sun,Dinner,2,No,Male,14.07,2.5
152,Sun,Dinner,2,No,Male,13.13,2
153,Sun,Dinner,3,No,Male,17.26,2.74
154,Sun,Dinner,4,No,Male,24.55,2
155,Sun,Dinner,4,No,Male,19.77,2
156,Sun,Dinner,5,No,Female,29.85,5.14
157,Sun,Dinner,6,No,Male,48.17,5
158,Sun,Dinner,4,No,Female,25,3.75
159,Sun,Dinner,2,No,Female,13.39,2.61
160,Sun,Dinner,4,No,Male,16.49,2
161,Sun,Dinner,4,No,Male,21.5,3.5
162,Sun,Dinner,2,No,Male,12.66,2.5
163,Sun,Dinner,3,No,Female,16.21,2
164,Sun,Dinner,2,No,Male,13.81,2
165,Sun,Dinner,2,Yes,Female,17.51,3
166,Sun,Dinner,3,No,Male,24.52,3.48
167,Sun,Dinner,2,No,Male,20.76,2.24
168,Sun,Dinner,4,No,Male,31.71,4.5
169,Sat,Dinner,2,Yes,Female,10.59,1.61
170,Sat,Dinner,2,Yes,Female,10.63,2
171,Sat,Dinner,3,Yes,Male,50.81,10
172,Sat,Dinner,2,Yes,Male,15.81,3.16
173,Sun,Dinner,2,Yes,Male,7.25,5.15
174,Sun,Dinner,2,Yes,Male,31.85,3.18
175,Sun,Dinner,2,Yes,Male,16.82,4
176,Sun,Dinner,2,Yes,Male,32.9,3.11
177,Sun,Dinner,2,Yes,Male,17.89,2
178,Sun,Dinner,2,Yes,Male,14.48,2
179,Sun,Dinner,2,Yes,Female,9.6,4
180,Sun,Dinner,2,Yes,Male,34.63,3.55
181,Sun,Dinner,4,Yes,Male,34.65,3.68
182,Sun,Dinner,2,Yes,Male,23.33,5.65
183,Sun,Dinner,3,Yes,Male,45.35,3.5
184,Sun,Dinner,4,Yes,Male,23.17,6.5
185,Sun,Dinner,2,Yes,Male,40.55,3
186,Sun,Dinner,5,No,Male,20.69,5
187,Sun,Dinner,3,Yes,Female,20.9,3.5
188,Sun,Dinner,5,Yes,Male,30.46,2
189,Sun,Dinner,3,Yes,Female,18.15,3.5
190,Sun,Dinner,3,Yes,Male,23.1,4
191,Sun,Dinner,2,Yes,Male,15.69,1.5
192,Thur,Lunch,2,Yes,Female,19.81,4.19
193,Thur,Lunch,2,Yes,Male,28.44,2.56
194,Thur,Lunch,2,Yes,Male,15.48,2.02
195,Thur,Lunch,2,Yes,Male,16.58,4
196,Thur,Lunch,2,No,Male,7.56,1.44
197,Thur,Lunch,2,Yes,Male,10.34,2
198,Thur,Lunch,4,Yes,Female,43.11,5
199,Thur,Lunch,2,Yes,Female,13,2
200,Thur,Lunch,2,Yes,Male,13.51,2
201,Thur,Lunch,3,Yes,Male,18.71,4
202,Thur,Lunch,2,Yes,Female,12.74,2.01
203,Thur,Lunch,2,Yes,Female,13,2
204,Thur,Lunch,2,Yes,Female,16.4,2.5
205,Thur,Lunch,4,Yes,Male,20.53,4
206,Thur,Lunch,3,Yes,Female,16.47,3.23
207,Sat,Dinner,3,Yes,Male,26.59,3.41
208,Sat,Dinner,4,Yes,Male,38.73,3
209,Sat,Dinner,2,Yes,Male,24.27,2.03
210,Sat,Dinner,2,Yes,Female,12.76,2.23
211,Sat,Dinner,3,Yes,Male,30.06,2
212,Sat,Dinner,4,Yes,Male,25.89,5.16
213,Sat,Dinner,4,No,Male,48.33,9
214,Sat,Dinner,2,Yes,Female,13.27,2.5
215,Sat,Dinner,3,Yes,Female,28.17,6.5
216,Sat,Dinner,2,Yes,Female,12.9,1.1
217,Sat,Dinner,5,Yes,Male,28.15,3
218,Sat,Dinner,2,Yes,Male,11.59,1.5
219,Sat,Dinner,2,Yes,Male,7.74,1.44
220,Sat,Dinner,4,Yes,Female,30.14,3.09
221,Fri,Lunch,2,Yes,Male,12.16,2.2
222,Fri,Lunch,2,Yes,Female,13.42,3.48
223,Fri,Lunch,1,Yes,Male,8.58,1.92
224,Fri,Lunch,3,No,Female,15.98,3
225,Fri,Lunch,2,Yes,Male,13.42,1.58
226,Fri,Lunch,2,Yes,Female,16.27,2.5
227,Fri,Lunch,2,Yes,Female,10.09,2
228,Sat,Dinner,4,No,Male,20.45,3
229,Sat,Dinner,2,No,Male,13.28,2.72
230,Sat,Dinner,2,Yes,Female,22.12,2.88
231,Sat,Dinner,4,Yes,Male,24.01,2
232,Sat,Dinner,3,Yes,Male,15.69,3
233,Sat,Dinner,2,No,Male,11.61,3.39
234,Sat,Dinner,2,No,Male,10.77,1.47
235,Sat,Dinner,2,Yes,Male,15.53,3
236,Sat,Dinner,2,No,Male,10.07,1.25
237,Sat,Dinner,2,Yes,Male,12.6,1
238,Sat,Dinner,2,Yes,Male,32.83,1.17
239,Sat,Dinner,3,No,Female,35.83,4.67
240,Sat,Dinner,3,No,Male,29.03,5.92
241,Sat,Dinner,2,Yes,Female,27.18,2
242,Sat,Dinner,2,Yes,Male,22.67,2
243,Sat,Dinner,2,No,Male,17.82,1.75
244,Thur,Dinner,2,No,Female,18.78,3
